state,date,sex,age,ethnicity,population
Kelantan,1/1/2020,both,overall,overall,1792.5
Kelantan,1/1/2022,both,overall,overall,1830.6
Melaka,1/1/1970,both,overall,overall,419.4
Melaka,1/1/1976,both,overall,overall,447.3
Melaka,1/1/1979,both,overall,overall,460.8
Melaka,1/1/1984,both,overall,overall,491.2
Melaka,1/1/1987,both,overall,overall,513.1
Melaka,1/1/1989,both,overall,overall,527.4
Melaka,1/1/1992,both,overall,overall,551.8
Melaka,1/1/1995,both,overall,overall,586.1
Melaka,1/1/1997,both,overall,overall,608.8
Melaka,1/1/1999,both,overall,overall,633.1
Melaka,1/1/2002,both,overall,overall,684.1
Melaka,1/1/2004,both,overall,overall,719.8
Melaka,1/1/2007,both,overall,overall,772.8
Melaka,1/1/2009,both,overall,overall,807.8
Melaka,1/1/2012,both,overall,overall,843.2
Melaka,1/1/2014,both,overall,overall,871.7
Melaka,1/1/2016,both,overall,overall,901.1
Melaka,1/1/2019,both,overall,overall,928.4
Melaka,1/1/2020,both,overall,overall,998.4
Melaka,1/1/2022,both,overall,overall,1008.6
Negeri Sembilan,1/1/1970,both,overall,overall,500.4
Negeri Sembilan,1/1/1976,both,overall,overall,544.3
Negeri Sembilan,1/1/1979,both,overall,overall,566.4
Negeri Sembilan,1/1/1984,both,overall,overall,623.8
Negeri Sembilan,1/1/1987,both,overall,overall,668.9
Negeri Sembilan,1/1/1989,both,overall,overall,698.2
Negeri Sembilan,1/1/1992,both,overall,overall,741.7
Negeri Sembilan,1/1/1995,both,overall,overall,787.5
Negeri Sembilan,1/1/1997,both,overall,overall,818
Negeri Sembilan,1/1/1999,both,overall,overall,849.5
Negeri Sembilan,1/1/2002,both,overall,overall,900.3
Negeri Sembilan,1/1/2004,both,overall,overall,933.7
Negeri Sembilan,1/1/2007,both,overall,overall,983.5
Negeri Sembilan,1/1/2009,both,overall,overall,1014.9
Negeri Sembilan,1/1/2012,both,overall,overall,1057.7
Negeri Sembilan,1/1/2014,both,overall,overall,1079.6
Negeri Sembilan,1/1/2016,both,overall,overall,1099.3
Negeri Sembilan,1/1/2019,both,overall,overall,1126.2
Negeri Sembilan,1/1/2020,both,overall,overall,1200
Negeri Sembilan,1/1/2022,both,overall,overall,1207.9
Pahang,1/1/1970,both,overall,overall,523.8
Pahang,1/1/1976,both,overall,overall,680.4
Pahang,1/1/1979,both,overall,overall,768.4
Pahang,1/1/1984,both,overall,overall,888.7
Pahang,1/1/1987,both,overall,overall,971
Pahang,1/1/1989,both,overall,overall,1025.9
Pahang,1/1/1992,both,overall,overall,1104.2
Pahang,1/1/1995,both,overall,overall,1176.5
Pahang,1/1/1997,both,overall,overall,1224.7
Pahang,1/1/1999,both,overall,overall,1272.5
Pahang,1/1/2002,both,overall,overall,1338.7
Pahang,1/1/2004,both,overall,overall,1380.2
Pahang,1/1/2007,both,overall,overall,1441.4
Pahang,1/1/2009,both,overall,overall,1481.7
Pahang,1/1/2012,both,overall,overall,1547.1
Pahang,1/1/2014,both,overall,overall,1591.7
Pahang,1/1/2016,both,overall,overall,1626.7
Pahang,1/1/2019,both,overall,overall,1671.4
Pahang,1/1/2020,both,overall,overall,1591.3
Pahang,1/1/2022,both,overall,overall,1614.3
Perak,1/1/1970,both,overall,overall,1631.5
Perak,1/1/1976,both,overall,overall,1736.7
Perak,1/1/1979,both,overall,overall,1789.1
Perak,1/1/1984,both,overall,overall,1912.3
Perak,1/1/1987,both,overall,overall,1967.5
Perak,1/1/1989,both,overall,overall,1987.7
Perak,1/1/1992,both,overall,overall,2007.1
Perak,1/1/1995,both,overall,overall,2038.1
Perak,1/1/1997,both,overall,overall,2055.3
Perak,1/1/1999,both,overall,overall,2076.7
Perak,1/1/2002,both,overall,overall,2161.8
Perak,1/1/2004,both,overall,overall,2222.1
Perak,1/1/2007,both,overall,overall,2306.4
Perak,1/1/2009,both,overall,overall,2355.7
Perak,1/1/2012,both,overall,overall,2427
Perak,1/1/2014,both,overall,overall,2458.8
Perak,1/1/2016,both,overall,overall,2482.1
Perak,1/1/2019,both,overall,overall,2508.8
Perak,1/1/2020,both,overall,overall,2496
Perak,1/1/2022,both,overall,overall,2514.4
Perlis,1/1/1970,both,overall,overall,125.5
Perlis,1/1/1976,both,overall,overall,138.3
Perlis,1/1/1979,both,overall,overall,145.8
Perlis,1/1/1984,both,overall,overall,161.7
Perlis,1/1/1987,both,overall,overall,174.5
Perlis,1/1/1989,both,overall,overall,182.9
Perlis,1/1/1992,both,overall,overall,192.7
Perlis,1/1/1995,both,overall,overall,198.8
Perlis,1/1/1997,both,overall,overall,202.1
Perlis,1/1/1999,both,overall,overall,205.7
Perlis,1/1/2002,both,overall,overall,213.2
Perlis,1/1/2004,both,overall,overall,218.8
Perlis,1/1/2007,both,overall,overall,227.2
Perlis,1/1/2009,both,overall,overall,233
Perlis,1/1/2012,both,overall,overall,239.4
Perlis,1/1/2014,both,overall,overall,245.1
Perlis,1/1/2016,both,overall,overall,251
Perlis,1/1/2019,both,overall,overall,254
Perlis,1/1/2020,both,overall,overall,284.9
Perlis,1/1/2022,both,overall,overall,289.8
Pulau Pinang,1/1/1970,both,overall,overall,808.6
Pulau Pinang,1/1/1976,both,overall,overall,896.4
Pulau Pinang,1/1/1979,both,overall,overall,940.4
Pulau Pinang,1/1/1984,both,overall,overall,1021.1
Pulau Pinang,1/1/1987,both,overall,overall,1070.5
Pulau Pinang,1/1/1989,both,overall,overall,1103.4
Pulau Pinang,1/1/1992,both,overall,overall,1154
Pulau Pinang,1/1/1995,both,overall,overall,1216.6
Pulau Pinang,1/1/1997,both,overall,overall,1259
Pulau Pinang,1/1/1999,both,overall,overall,1307.5
Pulau Pinang,1/1/2002,both,overall,overall,1387.3
Pulau Pinang,1/1/2004,both,overall,overall,1436.6
Pulau Pinang,1/1/2007,both,overall,overall,1507.8
Pulau Pinang,1/1/2009,both,overall,overall,1554.3
Pulau Pinang,1/1/2012,both,overall,overall,1623.2
Pulau Pinang,1/1/2014,both,overall,overall,1678.1
Pulau Pinang,1/1/2016,both,overall,overall,1717.7
Pulau Pinang,1/1/2019,both,overall,overall,1768.8
Pulau Pinang,1/1/2020,both,overall,overall,1740.4
Pulau Pinang,1/1/2022,both,overall,overall,1740.9
Sabah,1/1/1970,both,overall,overall,698.1
Sabah,1/1/1976,both,overall,overall,898.1
Sabah,1/1/1979,both,overall,overall,1013.3
Sabah,1/1/1984,both,overall,overall,1325.7
Sabah,1/1/1987,both,overall,overall,1550.8
Sabah,1/1/1989,both,overall,overall,1708.9
Sabah,1/1/1992,both,overall,overall,1896.6
Sabah,1/1/1995,both,overall,overall,2155.9
Sabah,1/1/1997,both,overall,overall,2333.7
Sabah,1/1/1999,both,overall,overall,2513.5
Sabah,1/1/2002,both,overall,overall,2719.1
Sabah,1/1/2004,both,overall,overall,2833.4
Sabah,1/1/2007,both,overall,overall,3032.3
Sabah,1/1/2009,both,overall,overall,3181.1
Sabah,1/1/2012,both,overall,overall,3432.7
Sabah,1/1/2014,both,overall,overall,3669.9
Sabah,1/1/2016,both,overall,overall,3802.8
Sabah,1/1/2019,both,overall,overall,3904.4
Sabah,1/1/2020,both,overall,overall,3418.8
Sabah,1/1/2022,both,overall,overall,3414.9
Sarawak,1/1/1970,both,overall,overall,1037
Sarawak,1/1/1976,both,overall,overall,1217.5
Sarawak,1/1/1979,both,overall,overall,1316.4
Sarawak,1/1/1984,both,overall,overall,1471.4
Sarawak,1/1/1987,both,overall,overall,1576
Sarawak,1/1/1989,both,overall,overall,1652.5
Sarawak,1/1/1992,both,overall,overall,1758.4
Sarawak,1/1/1995,both,overall,overall,1868.1
Sarawak,1/1/1997,both,overall,overall,1942.4
Sarawak,1/1/1999,both,overall,overall,2024.5
Sarawak,1/1/2002,both,overall,overall,2158.3
Sarawak,1/1/2004,both,overall,overall,2240.4
Sarawak,1/1/2007,both,overall,overall,2366.1
Sarawak,1/1/2009,both,overall,overall,2450.8
Sarawak,1/1/2012,both,overall,overall,2569.7
Sarawak,1/1/2014,both,overall,overall,2664
Sarawak,1/1/2016,both,overall,overall,2738.7
Sarawak,1/1/2019,both,overall,overall,2806
Sarawak,1/1/2020,both,overall,overall,2453.7
Sarawak,1/1/2022,both,overall,overall,2473.5
Selangor,1/1/1970,both,overall,overall,1696.4
Selangor,1/1/1976,both,overall,overall,2154.3
Selangor,1/1/1979,both,overall,overall,2407.3
Selangor,1/1/1984,both,overall,overall,1822
Selangor,1/1/1987,both,overall,overall,2079.7
Selangor,1/1/1989,both,overall,overall,2254.9
Selangor,1/1/1992,both,overall,overall,2605.6
Selangor,1/1/1995,both,overall,overall,3173.2
Selangor,1/1/1997,both,overall,overall,3571.9
Selangor,1/1/1999,both,overall,overall,3981.9
Selangor,1/1/2002,both,overall,overall,4446.3
Selangor,1/1/2004,both,overall,overall,4712.8
Selangor,1/1/2007,both,overall,overall,5127.1
Selangor,1/1/2009,both,overall,overall,5417.8
Selangor,1/1/2012,both,overall,overall,5702.4
Selangor,1/1/2014,both,overall,overall,6051.3
Selangor,1/1/2016,both,overall,overall,6291.5
Selangor,1/1/2019,both,overall,overall,6506.1
Selangor,1/1/2020,both,overall,overall,6994.4
Selangor,1/1/2022,both,overall,overall,7050.3
Terengganu,1/1/1970,both,overall,overall,418.8
Terengganu,1/1/1976,both,overall,overall,486.9
Terengganu,1/1/1979,both,overall,overall,527
Terengganu,1/1/1984,both,overall,overall,625.8
Terengganu,1/1/1987,both,overall,overall,704.3
Terengganu,1/1/1989,both,overall,overall,757.3
Terengganu,1/1/1992,both,overall,overall,823.8
Terengganu,1/1/1995,both,overall,overall,860
Terengganu,1/1/1997,both,overall,overall,880.4
Terengganu,1/1/1999,both,overall,overall,896.6
Terengganu,1/1/2002,both,overall,overall,936.6
Terengganu,1/1/2004,both,overall,overall,966.6
Terengganu,1/1/2007,both,overall,overall,1010.4
Terengganu,1/1/2009,both,overall,overall,1040.7
Terengganu,1/1/2012,both,overall,overall,1094.1
Terengganu,1/1/2014,both,overall,overall,1140.4
Terengganu,1/1/2016,both,overall,overall,1183.4
Terengganu,1/1/2019,both,overall,overall,1244.5
Terengganu,1/1/2020,both,overall,overall,1149.4
Terengganu,1/1/2022,both,overall,overall,1186.6
W.P. Kuala Lumpur,1/1/1984,both,overall,overall,1072.2
W.P. Kuala Lumpur,1/1/1987,both,overall,overall,1144.9
W.P. Kuala Lumpur,1/1/1989,both,overall,overall,1194.1
W.P. Kuala Lumpur,1/1/1992,both,overall,overall,1281.5
W.P. Kuala Lumpur,1/1/1995,both,overall,overall,1328.9
W.P. Kuala Lumpur,1/1/1997,both,overall,overall,1356.4
W.P. Kuala Lumpur,1/1/1999,both,overall,overall,1394
W.P. Kuala Lumpur,1/1/2002,both,overall,overall,1474.1
W.P. Kuala Lumpur,1/1/2004,both,overall,overall,1526.4
W.P. Kuala Lumpur,1/1/2007,both,overall,overall,1603.3
W.P. Kuala Lumpur,1/1/2009,both,overall,overall,1652.8
W.P. Kuala Lumpur,1/1/2012,both,overall,overall,1702.1
W.P. Kuala Lumpur,1/1/2014,both,overall,overall,1737.4
W.P. Kuala Lumpur,1/1/2016,both,overall,overall,1789.7
W.P. Kuala Lumpur,1/1/2019,both,overall,overall,1782.5
W.P. Kuala Lumpur,1/1/2020,both,overall,overall,1982.1
W.P. Kuala Lumpur,1/1/2022,both,overall,overall,1961.2
W.P. Labuan,1/1/1992,both,overall,overall,55.4
W.P. Labuan,1/1/1995,both,overall,overall,62.7
W.P. Labuan,1/1/1997,both,overall,overall,67.7
W.P. Labuan,1/1/1999,both,overall,overall,73.3
W.P. Labuan,1/1/2002,both,overall,overall,77.8
W.P. Labuan,1/1/2004,both,overall,overall,79.7
W.P. Labuan,1/1/2007,both,overall,overall,83.2
W.P. Labuan,1/1/2009,both,overall,overall,86.3
W.P. Labuan,1/1/2012,both,overall,overall,90.5
W.P. Labuan,1/1/2014,both,overall,overall,93.8
W.P. Labuan,1/1/2016,both,overall,overall,96.8
W.P. Labuan,1/1/2019,both,overall,overall,99.3
W.P. Labuan,1/1/2020,both,overall,overall,95.1
W.P. Labuan,1/1/2022,both,overall,overall,96.9
W.P. Putrajaya,1/1/2012,both,overall,overall,78.3
W.P. Putrajaya,1/1/2014,both,overall,overall,80.9
W.P. Putrajaya,1/1/2016,both,overall,overall,84.4
W.P. Putrajaya,1/1/2019,both,overall,overall,103.7
W.P. Putrajaya,1/1/2020,both,overall,overall,109.2
W.P. Putrajaya,1/1/2022,both,overall,overall,117
